quantile,value,type,location,target,forecast_date,target_end_date
0.200,195,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.250,214,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.300,228,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.350,245,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.400,262,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.450,279,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.500,298,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
,298,point,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.550,319,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.600,338,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.650,366,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.700,389,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.750,413,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.800,455,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.850,492,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.900,555,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.950,633,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.975,762,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.990,907,quantile,01,3 wk ahead inc death,2020-12-06,2020-12-26
0.010,85,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.025,109,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.050,126,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.100,151,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.150,178,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.200,203,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.250,228,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.300,250,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.350,277,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.400,304,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.450,331,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.500,358,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
,358,point,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.550,388,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.600,418,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.650,447,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.700,488,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.750,532,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.800,594,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.850,672,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.900,764,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.950,881,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.975,1024,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.990,1220,quantile,01,4 wk ahead inc death,2020-12-06,2021-01-02
0.010,119,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.025,129,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.050,136,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.100,147,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.150,155,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.200,163,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.250,169,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.300,175,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.350,180,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.400,186,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.450,192,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.500,197,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
,197,point,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.550,204,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.600,209,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.650,216,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.700,222,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.750,230,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.800,238,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.850,250,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.900,263,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.950,290,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.975,308,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.990,337,quantile,05,1 wk ahead inc death,2020-12-06,2020-12-12
0.010,117,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.025,125,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.050,137,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.100,160,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.150,173,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.200,184,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.250,197,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.300,205,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.350,216,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.400,227,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.450,237,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.500,246,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
,246,point,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.550,255,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
0.600,272,quantile,05,2 wk ahead inc death,2020-12-06,2020-12-19
